,<bytes_Click_(2006_film)>,<traf_Click_(2006_film)>,bratio_2030,bratio_Marco_Khan,bratio_Norman_Gimbel,traf_2030,traf_Marco_Khan,traf_Norman_Gimbel
2008/10/01/05,22617,1,6.327983375337136,0.4297652208515718,0.5536543308131052,8,1,1
2008/10/01/11,23085,1,0.6225254494260343,0.4127788607320771,0.550227420402859,2,1,1
2008/10/01/15,22617,1,2.391431224300305,0.42958836273599504,1.6609629924393157,5,1,3
2008/10/01/17,22612,1,7.197461524854059,0.4216345303378737,0.5537767557049355,4,1,1
2008/10/01/18,45604,2,2.3117928251907727,0.21300763090956934,1.6382115603894396,8,1,4
2008/10/01/22,22617,1,3.5438829199274884,0.4215855330061458,0.5540522615731529,6,1,1
2008/10/01/23,627975,9,0.14890560929973326,0.015470361081253235,0.060440304152235357,8,1,3
2008/10/02/08,92862,3,0.9664017574465336,0.43241584286360407,0.13495294092309018,4,2,1
2008/10/02/10,70581,8,0.19108541958884118,0.42691375866026265,0.18021847239342031,1,1,1
2008/10/03/05,22618,1,4.002873817313644,0.43027677071359094,0.5541161906446194,5,1,1
2008/10/04/04,22618,1,1.2044389424352286,0.42209744451321957,1.662348571933858,3,1,3
2008/10/04/07,69775,1,1.1002651379433894,0.13682551056968828,0.5563453959154425,3,1,5
2008/10/04/20,22798,1,9.530134222300202,1.3198087551539608,2.2068602508992017,8,1,4
2008/10/04/22,24883,5,6.9639512920467785,1.2171763854840654,0.5036772093397098,16,1,1
2008/10/04/23,45416,2,1.4844107803417297,0.42042451999295405,1.0922802536550995,5,2,3
2008/10/05/02,69772,1,0.766095281774924,0.13684572607922948,0.3592558619503526,4,1,2
2008/10/05/03,69760,1,1.0988675458715595,0.13949254587155963,0.17965883027522936,3,1,1
2008/10/05/05,23086,2,9.805119986138786,0.41336740881919776,1.093823096248809,6,1,2
2008/10/05/06,23554,3,1.7010274263394753,0.40536639212023434,1.0641929184002716,3,1,2
2008/10/05/14,22798,1,6.74589876304939,0.4269672778313887,0.5577682252829196,6,1,1
2008/10/05/15,68727,4,0.9933214020690558,0.2805593143888137,0.19252986453649948,7,2,2
2008/10/05/20,45419,2,3.1202360245712146,1.3210990994958056,0.5849314163675995,9,5,4
2008/10/05/22,45704,3,5.937839138806232,1.0846534220199544,0.5688123577805007,13,3,4
2008/10/05/23,22798,1,6.940126326870778,1.3195017106763751,1.099482410737784,12,1,2
2008/10/06/17,91958,6,0.5861371495682812,0.10582004828291176,0.13629048043672112,5,1,1
2008/10/06/20,45512,2,6.171647038143786,0.2138776586394797,0.8301546844788188,11,1,3
2008/10/07/04,45512,2,1.687247319388293,0.2098567410792758,0.5507558446124099,3,1,2
2008/10/07/06,68268,3,0.9335706333860667,0.13990449405285052,1.28509697076229,3,1,7
2008/10/07/14,68271,3,2.8565862518492477,0.13989834629637768,0.18357721433698057,11,1,1
2008/10/07/15,22757,1,1.7769038098167598,0.419695038889133,0.5503801028255042,3,1,1
2008/10/08/00,45697,2,0.8769503468499026,0.20902903910541173,0.5486574611024794,3,1,2
2008/10/08/03,22757,1,4.54950125236191,0.4197389814123127,0.5508634705804807,5,1,1
2008/10/08/09,22757,1,3.983038186052643,0.4501472074526519,1.101507228545063,5,2,2
2008/10/08/20,22759,1,6.9040819016652755,1.3225097763522122,0.5587240212663123,9,1,1
2008/10/09/16,22945,1,1.1797777293528002,0.41634342994116363,0.5463935497929833,2,1,1
2008/10/09/19,22943,1,7.263435470513882,0.42426884016911476,1.6469947260602362,7,1,3
2008/10/09/21,45520,2,4.256392794376098,0.21377416520210896,1.1056019332161686,9,1,4
2008/10/10/19,23451,2,8.078802609696815,1.2836552812246813,3.142765766918255,18,1,3
2008/10/10/20,22761,1,12.937832256930715,0.4275295461535082,0.5629805368832652,12,1,1
2008/10/10/21,22761,1,1.1814946619217082,0.42766135055577525,1.6738280391898424,2,1,3
2008/10/10/22,22944,1,1.7462081589958158,0.8322001394700139,0.5542189679218968,3,2,1
2008/10/11/02,22761,1,1.780765344229164,0.41944554281446333,1.6086287948684153,4,1,1
2008/10/11/19,25569,7,3.146192655168368,0.3733818295592319,1.027572451014901,6,1,4
2008/10/12/03,70542,1,1.3251396331263645,0.1353519888860537,0.1777380851124153,7,1,1
2008/10/12/08,22761,1,0.5948772022318879,1.3219542199376126,1.6086287948684153,1,1,1
2008/10/12/11,936,2,96.34294871794872,10.399572649572649,13.395299145299145,4,1,1
2008/10/12/18,22941,1,5.355346323176845,0.4161980733185127,0.5465324092236606,11,1,1
2008/10/12/20,22761,1,5.152146215016915,0.41948947761521904,0.5586749264092087,6,1,1
2008/10/12/23,45522,2,4.07798427134133,0.20974473880760952,0.5659022011335179,14,1,3
2008/10/13/00,22761,1,5.184965511181407,0.41948947761521904,1.6086287948684153,8,1,1
2008/10/13/02,22761,1,3.3670752603136944,1.322173893941391,3.789112956372743,3,1,4
2008/10/13/12,22941,1,4.3732182555250425,0.4161980733185127,0.5465324092236606,3,1,1
2008/10/13/19,23457,2,5.67966918190732,0.40704267382870785,1.0766508931235879,12,1,2
2008/10/14/00,23699,3,2.2823747837461497,0.48082197561078527,1.5449597029410524,5,3,1
2008/10/14/01,68334,3,4.098003921912957,0.13972546609301373,1.1067989580589457,10,1,7
2008/10/14/12,22762,1,1.7609612512081538,0.4194710482382919,0.5585625164748265,3,1,1
2008/10/14/22,512,1,184.83984375,19.013671875,24.83203125,9,1,1
2008/10/15/08,22772,1,4.971631828561391,1.3217547865800106,1.6073247848234675,3,1,1
2008/10/15/15,22955,1,1.7699411892833805,0.4153343498148552,1.2385536920060989,3,1,6
2008/10/15/22,22773,1,5.154437272208317,0.846133579238572,0.5505642646994248,7,2,1
2008/10/15/23,68602,3,1.70430891227661,0.27787819597096297,0.36552870178711994,6,2,2
2008/10/16/01,68787,4,1.5606291886548331,0.138601770683414,0.8967246718129879,9,1,3
2008/10/16/02,22773,1,2.9739603916919157,0.4186536688183375,0.5582927150573047,7,1,1
2008/10/16/03,22773,1,2.366750098801212,1.2577174724454399,1.607210292890704,5,3,1
2008/10/16/20,45674,2,2.848075491526908,0.20523711520777685,2.421311906117266,7,1,6
2008/10/16/21,45674,2,2.605399132985944,1.291697683583658,0.5641940710250909,10,5,3
2008/10/17/00,71060,2,1.3304390655783844,0.1320574162679426,0.6852237545735997,8,1,2
2008/10/17/08,46321,3,2.4483063837136503,0.2025862999503465,0.2745407050797694,3,1,1
2008/10/17/14,70551,1,2.789315530609063,0.2659494550041814,0.3605051664753157,7,2,2
2008/10/17/23,22838,1,3.3562045713284876,0.42613188545406777,0.5488659252123653,3,1,1
2008/10/18/04,22838,1,5.738068132060601,0.4109379105000438,1.1181802259392242,9,1,3
2008/10/18/08,22838,1,2.1862247131973027,0.4519222348717051,14.305806112619319,1,3,9
2008/10/18/10,22838,1,0.5850337157369296,0.8372011559681233,0.5567913127244067,1,2,1
2008/10/18/13,70732,1,0.5666176553752191,0.42560651473166317,0.1772182322004185,3,1,1
2008/10/18/15,48016,7,1.1133997000999667,0.20268243918693768,0.7528740419860047,4,1,1
2008/10/18/19,45856,2,2.9012124912770414,0.4093248429867411,0.2773682833217027,12,2,1
2008/10/18/20,22838,1,4.7357036518083895,0.4109379105000438,0.5790787284350644,9,1,2
2008/10/19/01,68514,3,1.7147736229091863,0.1420439618180226,0.3686253904311528,6,1,2
2008/10/19/03,116696,4,1.007926578460273,0.33839206142455613,0.4586275450743813,6,2,5
2008/10/19/05,468,1,230.17948717948718,20.053418803418804,80.35897435897436,8,1,3
2008/10/19/06,93390,2,0.15877502944640753,0.2047328407752436,0.6605739372523824,4,2,3
2008/10/19/11,45676,2,2.293852351344251,0.6240695332340835,0.5529380856467291,6,3,2
2008/10/19/15,70552,1,4.221099330989908,0.13794080961560268,0.1776845447329629,15,1,1
2008/10/19/17,68776,3,0.9794114225892754,0.41950680469931373,0.3645457717808538,5,3,2
2008/10/19/18,22838,1,11.027147736229091,1.3174971538663631,1.0978194237674053,9,1,2
2008/10/19/21,45676,2,1.7629608547158244,0.2054689552500219,0.5939224100183904,6,1,6
2008/10/19/23,45676,2,2.8818635607321132,0.4261975654610736,0.5529380856467291,8,2,2
2008/10/20/00,68860,3,0.7814551263433053,0.2725820505373221,0.1819779262271275,4,2,1
2008/10/20/05,47786,6,2.1732725065918888,0.3927928682040765,0.26233624911061815,5,2,1
2008/10/20/10,23246,1,1.7325561386905275,0.4037253721070292,0.5392755742923514,3,1,1
2008/10/20/12,23141,1,3.34626852772136,0.446004926321248,0.5417224839030292,3,3,1
2008/10/20/17,23609,2,3.267228599262993,0.4123427506459401,0.5309839467999492,3,1,1
2008/10/20/18,22959,1,6.708915893549371,0.46369615401367653,0.5539004312034497,6,2,1
2008/10/20/21,22959,1,5.283244043730128,0.4289385426194521,1.0920336251578902,9,2,2
2008/10/21/01,45918,2,3.1591750511781873,0.6554945772899516,0.2728995165294656,9,1,1
2008/10/21/06,22960,1,2.3388501742160277,0.414808362369338,0.545993031358885,4,1,1
2008/10/22/20,46282,2,1.1629143079382913,1.3311438572231105,0.27083963527937427,4,7,1
2008/10/22/21,23050,1,7.33119305856833,0.43114967462039044,1.6394793926247289,10,1,3
2008/10/22/22,23050,1,6.850715835140998,0.4436008676789588,1.6515401301518438,9,2,4
2008/10/23/04,23050,1,2.93175704989154,0.4234273318872017,1.08763557483731,6,1,2
2008/10/23/06,23050,1,1.1648590021691974,0.4234273318872017,1.0875488069414316,2,1,2
2008/10/23/19,23051,1,5.351524879614767,1.7252179948809163,0.5437941954795887,13,2,1
2008/10/23/21,71210,7,2.7402611992697654,0.13705940176941442,1.3801713242522118,10,1,4
2008/10/23/23,23051,1,2.9454687432215523,0.8549737538501584,3.1760878053012886,6,2,2
2008/10/24/00,138306,6,0.39019276097927785,0.14135323124087168,0.35530634968837216,4,2,2
2008/10/24/04,69153,3,1.705652683180773,0.1411507816002198,0.7250589273061183,7,1,4
2008/10/24/18,117688,4,0.6593025627081776,0.08520834749507171,2.4160917000883693,4,1,15
2008/10/24/19,23051,1,1.7745434037568868,2.1566092577328533,10.219339724957702,4,3,13
2008/10/24/20,71118,1,1.548271886161028,0.13723670519418432,1.7511459827329228,13,1,8
2008/10/24/22,47024,3,1.6544743109901328,0.20755358965634568,3.181481796529432,5,1,10
2008/10/25/00,23519,2,1.7124877758408095,0.4341170968153408,2.131723287554743,3,1,4
2008/10/25/16,23051,1,2.4375081341373477,0.42340896273480544,1.651685393258427,8,1,4
2008/10/25/21,23519,2,6.590671372082146,0.8380458352821123,4.873846677154641,7,2,12
2008/10/25/23,23701,2,1.1922703683388887,0.8533817138517362,2.115522551791064,5,3,4
2008/10/26/00,71119,1,1.797902107734923,0.13724883645720554,0.3530702062739915,4,1,2
2008/10/26/02,23051,1,0.6025768947117262,0.4234523448006594,2.6888204416294306,1,1,3
2008/10/26/07,69153,3,0.3883273321475569,0.1411507816002198,0.36242823883273323,2,1,2
2008/10/26/09,115723,6,0.12169577352816639,0.1686959377133327,0.10829307916317413,2,2,1
2008/10/26/19,23051,1,8.913322632423757,1.3095744219339724,2.1451130102815497,7,1,2
2008/10/26/21,23051,1,1.1649819964426706,0.4761181727473862,1.0952670166153313,2,3,2
2008/10/27/20,23233,1,6.66792923858305,1.7241854259028107,1.5880428700555245,6,2,1
2008/10/27/22,23233,1,6.364266345284724,0.4211251237463952,1.6575130202728876,13,1,4
2008/10/27/23,46469,2,3.041511545331296,0.4245841313563881,1.3374077341883837,5,2,3
2008/10/28/13,23051,1,2.7800529261203417,0.424233221986031,1.638887683831504,2,1,3
2008/10/28/14,23051,1,5.154353390308446,0.4244501323153009,0.5437074313478808,6,1,1
2008/10/28/15,46102,2,3.97976226627912,0.6547872109669862,0.8001822046765867,10,1,1
2008/10/28/17,69153,3,2.846225037236273,0.8758839095917748,0.37259410293118156,11,2,3
2008/10/28/20,23494,2,6.631735762322295,0.4164467523623053,2.6373116540393293,7,1,3
2008/10/30/13,95010,2,0.14207978107567623,0.32347121355646774,0.6585727818124408,1,1,3
2008/10/31/05,46082,2,2.022351460440085,0.21611475196389046,0.5520593724230719,6,1,2
2008/10/31/19,23041,1,4.795408185408619,1.3344906905082246,0.5520593724230719,9,1,1
2008/10/31/21,69298,3,1.578790152673959,0.14356835695113856,0.18356951138560998,12,1,1
2008/10/31/22,46082,2,2.60724360921835,0.21609305151686126,0.27605138665856516,7,1,1
