,<bytes_Ar_Tonelico>,<traf_Ar_Tonelico>,bratio_505_Games,bratio_Cross_Edge,bratio_List_of_anime_based_on_video_games,bratio_Mona_Marshall,bratio_Snazin_Smith,traf_505_Games,traf_Cross_Edge,traf_List_of_anime_based_on_video_games,traf_Mona_Marshall,traf_Snazin_Smith
2008/10/01/02,17906,1,2.005137942589076,8.495588071037641,1.638165977884508,21.0625488663018,0.35373617781749134,3,14,3,25,1
2008/10/01/09,17913,1,0.4245520013398091,8.552727069725897,0.542343549377547,5.763132920225535,0.3637581644615642,1,11,1,7,1
2008/10/01/10,36010,2,1.2971396834212718,2.7469591780061093,0.5447375728964177,7.469813940572063,0.1758955845598445,6,4,2,9,1
2008/10/01/12,17915,1,2.0424225509349707,1.7110242813284957,1.094613452414178,6.592687691878314,0.3535584705554005,4,3,2,4,1
2008/10/01/18,36016,2,0.9968069746779209,3.11008996001777,0.8282152376721457,2.8492614393602844,0.36183918258551756,3,11,4,6,2
2008/10/01/19,18095,1,1.9942525559546835,5.538601823708206,1.073777286543244,7.607736943907157,0.9733628074053606,3,8,2,9,1
2008/10/01/23,36010,2,0.4323798944737573,3.111274645931686,0.2698139405720633,7.495723410163843,0.48911413496251044,2,12,1,10,1
2008/10/02/02,17915,1,0.4245604242255093,6.141668992464416,0.5423388222160201,23.827909572983533,0.37973765001395476,1,8,1,25,2
2008/10/02/03,53925,3,0.008678720445062587,4.973852573018081,0.180176170607325,12.529346314325451,0.23495595734816876,1,15,1,27,2
2008/10/02/19,17916,1,0.4347510605045769,3.414824737664657,0.5423085510158517,12.489562402321948,1.7781312793034159,1,7,1,14,5
2008/10/02/22,17916,1,2.869334672918062,5.659912926992632,6.096282652377763,12.311620897521768,0.35588300960035724,6,10,9,10,1
2008/10/02/23,58704,1,0.2622478877078223,2.5408490051785226,0.16550831289179613,4.973749659307713,0.32374284546197873,2,9,1,20,3
2008/10/03/00,58704,1,0.3918131643499591,1.3939424911420006,1.691963068956119,4.687142273098937,0.21582856364131917,3,10,8,18,2
2008/10/03/11,53928,3,0.14443331849873906,0.7552662809672156,0.1801661474558671,1.5916407061266875,0.12084631360332294,1,4,1,5,1
2008/10/03/14,17916,1,0.4347510605045769,8.956965840589417,1.75853985264568,8.562904666220138,0.9922415717794151,1,11,1,8,1
2008/10/03/19,36300,3,0.20953168044077136,5.835922865013774,1.4081542699724519,7.260771349862259,0.34889807162534436,1,18,3,13,2
2008/10/03/20,17916,1,0.4638312123241795,4.525563741906676,2.199374860459924,22.955123911587407,0.36375306988167,2,8,4,19,1
2008/10/03/21,17916,1,1.5801518196025899,5.591147577584282,1.0846171020317035,18.564579147131056,0.36375306988167,2,7,2,19,1
2008/10/04/02,36300,3,0.7798622589531681,1.983801652892562,0.27261707988980716,3.6637465564738294,0.3498071625344353,2,9,1,12,2
2008/10/04/07,53748,3,0.14497283619855622,1.679374116246186,0.18076951700528393,4.272810151075388,0.1178648507851455,1,6,1,16,1
2008/10/04/15,18384,2,0.8374129677980853,4.352643603133159,5.04803089643168,4.449086161879896,0.7146431679721497,2,5,12,6,3
2008/10/04/18,17916,1,0.42453672694797945,3.9953114534494305,1.0853985264567985,7.925150703281982,1.3362915829426212,1,9,2,6,2
2008/10/04/19,74472,10,0.20665485014502094,0.9753732946610807,2.3645799763669566,2.873039531636051,0.17257492748952627,2,11,7,12,2
2008/10/04/23,18096,1,1.1337864721485411,5.517904509283819,1.6378757736516356,7.3306255526083115,0.3500773651635721,1,7,4,9,1
2008/10/05/03,17916,1,0.4350301406563965,7.905726724715338,4.046885465505693,12.914992185755748,0.35359455235543646,1,14,9,21,1
2008/10/05/05,89580,5,0.09013172583165885,1.0274503237329762,1.104029917392275,4.999363697253851,0.14143782094217458,2,10,33,23,2
2008/10/05/17,18096,1,0.8509062776304156,2.9027961980548187,2.206288682581786,6.445789124668435,0.7484526967285589,2,8,5,8,3
2008/10/05/23,58694,1,0.4821787576242887,2.576276961870038,0.6656728115309912,4.173237468906533,0.10793266773435103,2,11,4,16,1
2008/10/06/00,76609,2,0.10167212729574854,0.9265752065684189,0.3967027372762991,2.5686146536307746,0.1702672009816079,1,7,5,13,2
2008/10/06/15,76811,2,0.09902227545533843,0.2633476975953965,8.755881319081903,2.1627240889976695,0.3118693937066306,1,2,24,10,2
2008/10/07/02,17912,1,0.4246315319338991,2.8418937025457796,0.5424854845913354,16.96689370254578,0.9839213934792318,1,5,1,16,1
2008/10/07/04,35824,2,0.21231576596694954,1.378265966949531,2.3186132201875838,5.903835417597142,0.3542876284055382,1,2,6,16,2
2008/10/07/18,58726,1,0.2652658107141641,2.899942104008446,1.548683717603787,3.2710724381023737,0.10807819364506352,2,11,9,10,1
2008/10/07/23,112462,4,0.1352634667709982,1.5308015151784602,0.3460013160000711,2.374882182426064,0.11287368177695577,2,15,4,11,2
2008/10/09/17,18096,1,1.1337312113174183,8.406167108753316,1.0749336870026525,13.34184350132626,0.35074049513704686,1,13,2,12,1
2008/10/09/23,18380,2,0.4145266594124048,7.697878128400435,3.8313928182807397,22.029923830250272,0.3453210010881393,1,13,5,26,1
2008/10/10/01,17912,1,0.8504354622599375,6.24704108977222,2.7410116123269317,19.51937248771773,0.7081286288521661,2,12,6,18,2
2008/10/10/04,72116,5,0.28434744023517666,1.2450773753397304,0.404528814687448,2.4780215208830216,0.08801098230628432,1,6,3,13,1
2008/10/10/05,36760,4,1.1889825897714907,6.528454842219804,0.2645810663764962,11.854134929270947,0.17769314472252448,4,17,1,32,1
2008/10/10/07,18096,1,0.8516246684350133,8.806918656056586,1.100740495137047,11.698054818744474,2.9206454465075153,2,10,3,14,3
2008/10/10/13,36292,3,0.20993607406590983,2.4471233329659428,0.8134575112972556,2.7643282266064144,0.1748870274440648,1,3,3,6,1
2008/10/10/19,18099,1,0.8513177523620089,4.517652909000497,1.6719708271175202,6.369523178076137,0.3607934140007735,2,9,5,7,1
2008/10/10/20,17912,1,0.4250781598928093,10.719740955783832,1.6633541759714159,21.82564761054042,0.35406431442608305,1,17,4,15,1
2008/10/11/04,17907,1,0.42547607081029765,6.838889819623611,3.8233651644608253,12.697715976992237,0.35444239682805606,1,14,8,16,1
2008/10/11/16,17951,1,1.7166731658403431,3.400701910757061,2.7157261433903406,11.790819452955267,0.36360091359812824,4,6,5,16,1
2008/10/11/23,73463,5,0.2097790724582443,1.9759879122823734,0.3991941521582293,4.897295237058111,0.3262322529708833,2,20,3,15,2
2008/10/12/00,18192,1,0.41881046613896217,3.987741864555849,0.10290237467018469,25.96047713280563,0.3488896218117854,1,9,4,21,1
2008/10/12/05,59753,1,0.26284872726055597,2.4003480996770037,0.4877579368399913,3.2823623918464344,0.21244121634060215,3,15,3,17,2
2008/10/12/16,18192,1,0.41881046613896217,8.972680299032541,1.6019678979771328,13.3530672823219,0.7076737027264732,1,17,3,15,2
2008/10/12/18,18192,1,0.4282102022867194,6.699978012313105,2.680079155672823,20.6176890941073,0.3488896218117854,1,12,5,15,1
2008/10/12/19,18192,1,0.4539357959542656,9.904463500439753,1.679254617414248,19.097680299032543,0.9675681618293756,2,12,6,17,1
2008/10/12/20,19126,3,0.8058140750810415,3.1818467008261004,2.5836557565617486,16.903063892084074,0.6732719857785214,2,6,6,20,2
2008/10/12/21,36385,2,0.6516696440841006,4.434602171224405,0.8111309605606706,9.584471622921534,0.538326233337914,4,13,3,18,3
2008/10/12/22,78581,3,0.09695727974955778,1.299754393555694,0.3732708924549191,4.078186839057787,0.08077016072587521,1,11,3,18,1
2008/10/13/03,36386,2,0.5632386082559226,5.878497224207113,1.1194415434507778,6.738113560160501,0.6637168141592921,1,23,8,19,2
2008/10/13/13,59946,1,1.9856537550462083,2.180862776498849,0.16509858872985686,3.263136823140827,0.10587862409501884,7,10,1,13,1
2008/10/13/16,36386,2,0.22371241686362886,4.400538668718738,0.5519155719232672,5.225691199912054,0.1794646292530094,2,10,3,9,1
2008/10/13/17,18193,1,1.9726818006925741,10.912713681086132,15.496124883196835,12.243445281152091,0.3589292585060188,3,11,12,11,1
2008/10/13/18,18376,1,0.423922507618633,7.159828036569438,2.77361776229865,10.57771005659556,0.35535481062255114,1,12,10,12,1
2008/10/13/20,19129,3,1.8761566208374718,5.817240838517434,2.03068639238852,23.40801923780647,0.33179988499137436,3,11,4,25,1
2008/10/13/21,18193,1,1.1369757599076569,6.773979002913208,3.2131589072720277,16.9303028637388,0.3589292585060188,1,15,6,19,1
2008/10/13/22,73708,6,0.3170619200086829,1.9143783578444673,0.8020024963368969,3.0306208281326317,0.1848510338090845,3,12,7,12,4
2008/10/13/23,91489,6,0.1682388046650417,1.8357179551640088,0.4486878203937085,2.0749489009607713,0.06937446031763381,2,25,2,9,1
2008/10/14/02,936,2,16.444444444444443,98.08867521367522,20.754273504273506,238.07692307692307,18.82371794871795,2,11,2,12,1
2008/10/14/10,18193,1,0.4435222338261969,3.4147749134282415,0.7396800967405046,2.666904853515088,0.9684494036167757,2,8,9,3,1
2008/10/14/15,36569,2,0.4536082474226804,7.241844184965408,2.515792064316771,1.3545899532390824,0.1784845087369083,4,12,5,4,1
2008/10/14/19,59761,1,0.3879787821488931,1.6985157544217802,0.32497782834959255,4.81911279931728,0.10620638878198156,3,11,2,16,1
2008/10/14/20,18661,2,0.835217833985317,7.12850329564332,3.358555275708697,19.340174695889825,0.6802422163871176,2,15,2,17,2
2008/10/14/22,36386,2,0.986615731325235,6.050926180399054,1.3398559885670314,6.2561699554773815,0.17429780684878798,3,16,5,15,1
2008/10/15/17,60217,2,0.3849577361874554,5.254512845209825,1.366823322317618,5.404370858727602,0.10839131806632679,3,14,4,27,1
2008/10/15/21,18376,1,1.5505550718328254,8.221103613408793,2.1929690901175447,13.91614061819765,0.9572812363952982,2,13,6,14,1
2008/10/16/15,18193,1,1.9837300060462815,8.27576540427637,3.346836695432309,17.412906062771395,0.3589292585060188,3,11,4,14,1
2008/10/16/17,36386,2,0.4280492497114275,3.3623096795470784,0.5347661188369153,9.171357115374045,0.34887044467652395,2,13,2,15,2
2008/10/16/22,18193,1,0.4279668004177431,5.123783872918155,1.0950915187159898,25.09492662012862,0.34887044467652395,1,13,3,34,1
2008/10/17/13,18193,1,0.4279668004177431,0.5554883746495906,1.2401473094047162,9.78969933490903,0.3589292585060188,1,1,8,11,1
2008/10/17/20,36388,2,0.21383423106518631,3.906370231944597,1.3367044080466088,7.362124876332857,0.5283884797185886,1,15,5,11,3
2008/10/17/21,19399,3,0.39254600752616114,4.831537708129285,1.5284808495283262,14.139388628279809,0.6786432290324244,1,14,4,20,3
2008/10/17/22,513,1,76.57699805068226,101.42690058479532,37.925925925925924,717.7719298245614,12.730994152046783,6,8,2,20,1
2008/10/18/00,18486,1,0.4111219301092719,6.631721302607379,0.5262901655306719,26.128854268094774,0.3574056042410473,1,14,1,31,1
2008/10/18/01,18194,1,0.46680224249752666,6.074475101681873,2.18456634055183,29.978949104100252,0.3746839617456304,3,8,5,22,2
2008/10/18/20,18376,1,0.4136373530692207,1.670929473225947,1.0588811493252068,8.882020026121028,0.3454505877231171,1,3,2,10,1
2008/10/19/05,72775,4,0.2817725867399519,1.666231535554792,0.2673720371006527,3.521538990037788,0.0872277567846101,1,12,2,13,1
2008/10/20/07,18195,1,0.4279197581753229,5.500357241000275,0.5347073371805441,17.195273426765596,0.34888705688375926,1,7,1,11,1
2008/10/20/17,18376,1,0.42386808881149324,10.827873313016978,7.401665215498476,21.478994340444057,0.3451784936874184,1,11,7,16,1
2008/10/20/20,36390,2,0.2140423193184941,3.905880736466062,0.8020610057708162,10.717917010167628,0.34888705688375926,1,13,3,13,2
2008/10/20/22,55053,4,0.1414273518246054,1.8614607741630793,0.9148820227780502,5.551068969901731,0.2306141354694567,1,12,8,16,2
2008/10/20/23,18195,1,0.4471008518823853,4.443418521571861,4.575872492442979,33.13838966749107,0.34888705688375926,2,7,13,28,1
2008/10/21/01,18663,2,0.8140170390612441,4.411938059261641,1.0425976531104324,23.787547553983817,0.34013824144028293,2,11,2,20,1
2008/10/21/10,18195,1,1.1378400659521846,4.948612256114317,0.5448200054960154,14.557570761198132,0.3587798845836768,1,6,1,9,1
2008/10/22/17,36390,2,0.9870568837592745,2.787386644682605,1.396180269304754,5.738059906567738,0.34888705688375926,3,10,3,12,2
2008/10/22/20,36390,2,0.780736466062105,3.94009343226161,0.5785655399835119,6.740945314646881,0.17444352844187963,2,16,5,16,1
2008/10/22/22,73317,5,0.10619638010284109,0.8400234597705852,0.5463807848111625,2.446417611195221,0.08658292074143786,1,8,6,11,1
2008/10/23/03,18195,1,1.6175322890904094,4.393075020610057,1.6042868920032975,33.381148667216266,0.3486122561143171,2,5,3,30,1
2008/10/23/04,59741,1,0.34343248355400813,0.8461525585443832,1.4662794395808574,6.290721614971293,0.40864732763094025,1,5,9,26,3
2008/10/23/20,18196,1,1.6927346669597714,3.964277863266652,2.7484612002637943,16.58556825675973,0.7079028357880853,4,10,8,13,2
2008/10/24/16,36560,2,0.4260940919037199,2.5238512035010943,1.1286105032822757,5.24535010940919,0.3521881838074398,2,11,2,9,2
2008/10/24/17,36753,2,0.21184665197398853,2.721546540418469,0.5290724566702038,10.797540336843252,0.3503387478573178,1,7,2,18,2
2008/10/24/22,18195,1,0.8558395163506458,3.3925803792250617,1.068755152514427,15.770101676284694,0.34888705688375926,2,7,2,14,1
2008/10/25/04,72780,4,0.11552624347348173,0.9750206100577081,0.27361912613355316,3.369909315746084,0.08722176422093982,3,7,3,16,1
2008/10/25/19,60024,1,0.12684926029588164,1.8554078368652538,0.6635345861655337,3.857073837131814,0.11508729841396774,1,11,6,17,2
2008/10/25/21,36785,2,0.9071632458882697,1.659072991708577,0.2950659236101672,8.02327035476417,0.17257034117167325,9,6,3,20,1
2008/10/26/17,18211,1,0.42759870407995165,4.50941738509692,0.5446158914941519,18.177694799846247,1.341771456811817,1,10,1,12,2
2008/10/26/22,18211,1,2.476140794025589,7.888309263631871,2.7209378946790403,29.28642029542584,0.3485805282521553,6,17,7,30,1
2008/10/26/23,18391,1,1.6841933554455983,5.493447882116253,2.135772932412593,24.718068620520906,0.34516883258115383,4,8,4,27,1
2008/10/27/10,54636,3,0.14834541328062084,0.7409034336335018,1.2988505747126438,1.7223991507430998,0.34856138809576104,2,4,5,3,3
2008/10/27/17,18212,1,0.4296617614759499,2.2443443883153966,1.0783000219635406,20.280584230177904,0.9835273446079508,1,4,2,18,1
2008/10/27/19,18212,1,0.848890841203602,5.6220623764550846,2.880133977597189,8.082088732703712,0.6971227761915221,2,11,3,9,2
2008/10/27/21,54996,3,0.7996945232380537,1.4754163939195577,1.069277765655684,6.406847770746963,0.11542657647828933,4,8,7,17,1
2008/10/28/02,54782,3,0.5196414880800263,0.7474535431346062,1.9156657296192179,5.08234456573327,0.11587747800372385,2,5,4,19,1
2008/10/28/04,55821,6,0.372404650579531,3.57584063345336,0.17454004765231723,7.140556421418463,0.11372064276885044,1,11,1,33,1
2008/10/28/14,18320,1,0.8439956331877729,7.635207423580786,1.6731986899563318,15.363427947598254,0.3564410480349345,2,8,6,9,1
2008/10/28/20,36280,2,0.21055678059536934,3.423566703417861,1.9222987872105843,7.912265711135612,0.17993384785005512,1,16,9,13,1
2008/10/28/21,36460,2,0.20951727921009325,3.8810477235326384,1.6715304443225452,6.7558145913329675,0.3532364234777839,1,12,4,16,2
2008/10/28/22,18140,1,0.8525358324145534,13.447519294377067,3.9576074972436603,9.080099228224917,0.34994487320837925,2,12,7,11,1
2008/10/29/00,36458,2,0.41905754566898895,2.780596851171211,0.811454276153382,5.827417850677492,0.17411816336606506,2,10,3,13,1
2008/10/29/04,18141,1,0.42109034783088034,7.7440052918802715,1.0753541701119012,9.968358965878396,0.34992558293368614,1,10,2,14,1
2008/10/29/06,73032,5,0.10459798444517472,1.247056085003834,0.4006736772921459,4.144019060138022,0.08692080184028919,1,9,3,13,1
2008/10/29/14,133256,5,0.3186948430089452,0.2351638950591343,0.31218856937023476,0.9528276400312181,0.05608753076784535,2,4,2,5,1
2008/10/29/16,37158,3,0.2054470100651273,2.8773077130093117,0.7963561009742182,4.4436191398891225,0.18943430755153667,1,16,3,10,2
2008/10/29/17,36465,2,0.2146167557932264,2.7894693541752367,0.8383929795694501,3.96119566707802,0.17408473879062114,1,8,5,6,1
2008/10/29/21,55332,3,0.9055700137352707,2.769970360731584,0.7718318513699125,6.503524181305574,0.33111038820212535,3,11,10,21,1
2008/10/30/00,18388,1,0.841037633239069,5.037361322601697,3.926201870785295,21.74108113987383,0.6904502936697846,2,9,6,16,2
2008/10/30/01,36776,2,0.20771698934087449,4.409886882749619,0.2693332608222754,6.736186643463128,0.17261257341744615,1,10,1,15,1
2008/10/30/05,55344,3,0.14135226944203527,0.9470403295750217,0.3579430471234461,7.602901850245736,0.5605305001445504,1,7,2,20,3
2008/10/30/09,36959,2,0.41337698530804406,4.07627370870424,0.2679996753158906,4.036283449227523,0.17175789388241025,2,6,1,10,1
2008/10/30/16,111054,6,0.13752768923226538,0.47630882273488573,0.08919084409386424,1.635060421056423,0.058782214058025826,2,8,1,11,1
2008/10/30/17,426926,26,0.054117106945934426,0.17332746190206266,0.069625649409968,0.660861601307955,0.029738174765650254,3,11,3,20,2
2008/10/30/18,577990,30,0.053831381165764115,0.22944687624353363,0.0171283240194467,0.28733888129552415,0.010974238308621256,4,10,1,10,1
2008/10/30/20,785780,50,0.05666598793555448,0.15371478021838172,0.025210618748250146,0.5727964570235944,0.016157194125582225,4,6,2,20,2
2008/10/30/23,406762,26,0.03756004739872456,0.43320172484155356,0.3645276599092344,0.5576405858954376,0.015593885367856388,2,18,6,11,1
2008/10/31/15,245058,12,0.06234442458520024,0.12605587248732952,0.21201919545576967,1.060357139942381,0.026650833680189997,2,3,3,13,1
2008/10/31/17,342036,15,0.06808055292425359,0.4478739080096832,0.05801436106140874,0.678855442117204,0.019085710276111285,3,12,2,16,1
2008/10/31/18,203963,14,0.03745287135411815,0.20285541985556205,0.09731176733034913,1.033579619833009,0.032020513524511796,1,4,2,11,1
2008/10/31/20,742772,40,0.010284447986730786,0.04221753108625527,0.04007016958097505,0.35923540467330484,0.008788699627880427,1,4,3,19,1
2008/10/31/21,982108,53,0.03718735617671376,0.06309489384059594,0.010104794991996806,0.2987716218582885,0.013113629050980137,3,6,1,16,2
2008/10/31/23,773419,43,0.019753846233412937,0.09324053326851293,0.025936782003028114,0.27778474539673836,0.008440444312849826,2,7,2,13,1
