,<bytes_Eye_Candy_(Happy_Tree_Friends)>,<traf_Eye_Candy_(Happy_Tree_Friends)>,bratio_Eye_candy,bratio_Happy_Trails_Pt._2:_Jumping_the_Shark,bratio_List_of_Happy_Tree_Friends_characters,bratio_List_of_Happy_Tree_Friends_internet_shorts_(Season_2),bratio_Rink_Hijinks,traf_Eye_candy,traf_Happy_Trails_Pt._2:_Jumping_the_Shark,traf_List_of_Happy_Tree_Friends_characters,traf_List_of_Happy_Tree_Friends_internet_shorts_(Season_2),traf_Rink_Hijinks
2008/10/01/06,19551,2,4.326888650196921,1.801953864252468,33.691064395683085,1.6609892077131605,2.0856733670911973,10,1,8,4,3
2008/10/01/17,9778,1,10.837901411331561,1.1262016772346084,66.22417672325629,2.1383718551851096,0.9693188791163837,16,1,14,2,1
2008/10/02/03,10252,2,3.109832227857979,5.587300039016777,57.35983222785798,2.0858369098712446,2.7738002341006633,6,3,10,3,3
2008/10/03/05,9784,1,9.186937857726901,1.1261242845461978,68.66271463614063,2.1377759607522484,0.9687244480784954,18,1,19,2,1
2008/10/03/16,32253,1,2.318078938393328,1.0985334697547515,12.53167147242117,1.941617833999938,1.898924131088581,11,1,19,3,2
2008/10/04/19,51640,3,0.8603214562354764,1.1183191324554609,11.298044151820294,2.2732378001549187,0.7732184353214563,7,4,30,11,2
2008/10/05/07,32260,1,0.9927774333539987,1.0983880967141972,9.156726596404216,29.736081835089895,1.8982021078735276,6,1,6,23,2
2008/10/05/10,9784,1,3.975776778413737,2.2522485690923957,20.62765739983647,1.0688879803761242,1.9409239574816026,7,2,8,1,2
2008/10/05/14,9967,1,8.210494632286546,1.1241095615531254,28.222333701214005,1.0679241496939902,0.9712049764221933,12,1,9,1,1
2008/10/05/17,19934,2,5.2840874887127525,0.5880405337614126,14.249774255041638,2.349152202267483,0.485752984850005,15,2,15,33,1
2008/10/07/17,19931,2,6.015252621544328,0.5621393808639807,20.918167678490793,1.0577994079574533,0.4857257538507852,13,1,13,2,1
2008/10/07/20,9784,1,10.918540474243663,1.1261242845461978,57.35844235486508,2.1560711365494685,0.9694399018806215,16,1,17,2,1
2008/10/08/14,9964,1,10.730529907667604,1.1241469289441992,91.89552388598956,2.135989562424729,0.9712966680048173,10,1,12,2,1
2008/10/09/00,29347,3,3.5282311650253857,0.37543871605274814,12.840699219681738,2.1434899649027157,0.9882100385047875,13,1,12,4,4
2008/10/10/01,19568,2,5.350981193785772,0.5630621422730989,56.69342804578904,1.0927023712183157,0.48456663941128375,17,1,27,3,1
2008/10/10/03,9813,1,12.474778355243044,3.591154590848874,59.20014266788954,1.065627229185774,0.9694283093855091,16,1,15,1,1
2008/10/10/12,9784,1,5.461672117743254,1.1238757154538022,62.60353638593622,1.0874897792313982,0.9691332788225675,5,1,11,1,1
2008/10/10/14,9784,1,6.781582174979558,1.1725265739983646,152.95676614881438,6.127964022894521,0.9691332788225675,7,2,21,21,1
2008/10/10/20,19568,2,4.404333605887163,1.125,18.594797628781684,0.5437448896156991,0.48461774325429274,12,2,10,1,1
2008/10/13/02,19570,2,2.5306080735820133,1.1249872253449158,57.38405723045478,2.0668880940214613,0.9930505876341339,7,2,35,22,3
2008/10/13/08,9970,1,10.406218655967903,4.658475426278836,22.04112337011033,1.0957873620862588,0.9700100300902708,13,2,3,2,1
2008/10/14/12,19750,2,2.847746835443038,0.557367088607595,28.591291139240507,1.092,0.48025316455696204,8,1,11,3,1
2008/10/17/21,9770,1,10.46806550665302,1.1267144319344933,21.091811668372568,1.1661207778915046,0.9709314227226202,15,1,6,3,1
2008/10/18/04,9770,1,6.043500511770727,2.2534288638689866,50.26264073694985,0.09580348004094166,0.9719549641760491,12,2,15,2,1
2008/10/18/06,51596,3,0.3858438638654159,0.6830762074579425,8.459124738351811,0.20257384293356073,0.590084502674626,5,1,7,1,1
2008/10/18/07,9770,1,6.161310133060389,1.1267144319344933,12.748106448311157,2.1437052200614124,0.9714431934493347,6,1,8,2,1
2008/10/19/11,9771,1,5.05618667485416,1.1265991198444376,25.07153822536076,1.7130283491966023,0.9719578344079419,6,1,6,14,1
2008/10/20/02,29313,3,2.870501142837649,0.3914986524750111,16.76907856582404,2.510285538839423,0.3239859448026473,15,2,19,5,1
2008/10/20/21,19542,2,6.64021082796029,0.5632995599222188,10.4923242247467,0.5711288506805854,0.48536485518370687,15,1,7,2,1
2008/10/20/22,9771,1,12.19404359840344,1.1265991198444376,25.09374680176031,2.140620202640467,0.9716508033978098,16,1,7,2,1
2008/10/20/23,9766,1,3.962830227319271,1.1266639361048536,20.855314355928734,1.1669055908253123,0.971636289166496,7,1,5,3,1
2008/10/22/13,42023,2,2.432620231777836,0.26633034290745544,13.969897437117769,0.24886371748804226,0.23032624991076314,9,1,13,2,1
2008/10/22/20,51607,3,1.1137830139322185,0.21332377390664056,9.786172418470363,0.202201251768171,0.18379289631251575,9,1,11,1,1
2008/10/22/21,42304,3,3.1000614599092287,0.27132186081694404,6.795173033282905,0.8132091527987897,0.23543872919818457,18,2,10,31,2
2008/10/23/21,19722,2,5.383226853260318,0.5674880843727816,27.66818781056688,0.5395497414055369,0.4907717270053747,15,1,11,1,1
2008/10/23/23,19536,2,1.6547399672399672,0.5635237510237511,37.93990581490581,0.023904586404586405,0.485513923013923,6,1,31,1,1
2008/10/25/00,10077,1,5.095663391882504,1.12672422347921,61.60007938870696,3.1096556514835765,0.9735040190532896,8,1,26,3,1
2008/10/26/16,42023,2,2.299074316445756,0.2664017323846465,14.020702948385408,1.249720391214335,0.9616400542560026,15,1,15,2,2
2008/10/27/23,29781,4,2.6039085322856854,0.36966522279305597,35.01806520936167,0.3574090863302105,0.3191968033309828,12,1,22,1,1
2008/10/28/00,9771,1,7.781803295466175,1.1267014635144816,58.905843823559515,5.493296489612118,0.973800020468734,11,1,9,6,1
2008/10/28/21,9954,1,14.751959011452682,1.1246734980912196,52.32007233273056,1.117138838657826,0.9746835443037974,21,1,10,2,1
2008/10/29/16,19729,2,6.4853261695980535,1.1351310253940898,19.587510770946324,0.530589487556389,0.5178164123878555,16,2,7,1,2
